2017-07-20 09:28:55.769000,TR000213,A4,False,237.311,73.5,7.457,***,111.792,44.562,***,====,51.184,4.792,51.275,4.541
2017-07-21 09:51:38.413000,TR000213,A4,False,240.778,71.767,7.434,***,116.298,45.279,***,====,51.712,4.791,55.259,4.536
2017-06-11 17:06:47.366000,TR000213,A5,False,429.162,86.638,7.542,127.999,160.019,46.964,***,====,87.652,4.758,63.11,4.499
2017-06-21 11:36:34.222000,TR000213,A5,False,392.014,76.884,8.705,129.691,130.123,46.611,***,====,58.78,4.796,62.046,4.501
2017-06-21 16:37:33.055000,TR000213,A5,False,377.898,71.465,7.765,129.385,122.837,46.446,***,====,57.178,4.781,56.376,4.502
2017-06-22 11:37:54.684000,TR000213,A5,False,375.877,73.03,8.568,130.206,117.596,46.477,***,====,53.109,4.763,55.223,4.501
2017-06-22 18:53:51.938000,TR000213,A5,False,365.757,69.944,7.438,126.759,115.039,46.577,***,====,51.605,4.814,54.119,4.501
2017-07-14 09:58:31.261000,TR000213,A5,False,244.376,74.094,7.49,***,117.25,45.542,***,====,52.712,4.787,55.246,4.505
2017-07-14 17:02:41.736000,TR000213,A5,False,241.728,74.4,7.482,***,114.04,45.806,***,====,50.564,4.862,54.104,4.51
2017-07-17 10:16:37.062000,TR000213,A5,False,239.142,72.264,7.462,***,114.082,45.334,***,====,52.429,4.755,52.349,4.549
2017-07-19 09:29:41.450000,TR000213,A5,False,245.022,75.099,7.464,***,116.811,45.648,***,====,52.22,4.828,55.213,4.55
2017-07-20 09:32:53.344000,TR000213,A5,False,241.357,73.266,7.395,***,114.747,45.949,***,====,50.258,4.681,55.278,4.53
2017-07-21 09:55:39.417000,TR000213,A5,False,244.084,75.141,7.831,***,115.225,45.887,***,====,51.602,4.801,54.288,4.534
2017-06-21 16:43:51.202000,TR000213,A6,True,518.096,73.082,7.692,126.661,263.763,46.898,***,====,52.562,211.201
2017-06-22 11:44:10.773000,TR000213,A6,True,520.155,76.261,8.449,130.148,258.665,46.632,***,====,51.819,206.846
2017-06-22 18:59:57.890000,TR000213,A6,True,485.328,74.791,7.82,125.416,230.129,47.172,***,====,51.862,178.267
2017-07-14 10:02:35.824000,TR000213,A6,True,357.097,73.709,7.486,***,230.052,45.85,***,====,49.931,180.121
2017-07-14 17:06:43.667000,TR000213,A6,True,440.726,74.976,7.25,***,312.789,45.711,***,====,50.713,4.731,53.125,204.22
2017-07-17 10:20:36.424000,TR000213,A6,True,492.427,75.557,7.639,***,362.671,46.56,***,====,51.268,311.403
2017-07-19 09:33:46.699000,TR000213,A6,True,462.353,75.177,7.321,***,333.561,46.294,***,====,46.71,34.887,56.37,195.594
2017-07-20 09:36:54.899000,TR000213,A6,True,478.758,73.495,7.612,***,351.135,46.516,***,====,55.667,295.468
2017-07-21 09:59:43.715000,TR000213,A6,True,499.297,75.328,7.435,***,370.747,45.787,***,====,51.297,319.45
2017-06-11 17:37:43.129000,TR000213,A7,False,390.616,76.981,7.647,126.777,131.504,47.707,***,====,59.167,4.77,63.066,4.501
2017-06-21 12:04:15.718000,TR000213,A7,False,385.45,75.364,7.293,124.593,130.338,47.862,***,====,56.099,4.746,64.984,4.509
2017-06-21 16:52:29.517000,TR000213,A7,False,373.35,73.562,7.493,127.004,117.161,48.13,***,====,52.621,4.768,55.258,4.514
2017-06-22 11:52:51.155000,TR000213,A7,False,378.536,76.411,8.621,129.868,115.973,47.663,***,====,51.532,4.774,55.166,4.501
2017-06-22 19:08:03.731000,TR000213,A7,False,375.82,78.636,7.61,125.601,115.999,47.974,***,====,51.514,4.775,55.209,4.501
2017-07-14 10:08:33.106000,TR000213,A7,None,111.02,74.503,***,***,***,***,36.517,====
2017-07-14 17:14:04.594000,TR000213,A7,None,112.072,75.715,***,***,***,***,36.357,====
2017-07-17 10:28:49.126000,TR000213,A7,None,112.684,75.937,***,***,***,***,36.747,====
2017-07-19 09:41:29.272000,TR000213,A7,None,110.069,74.028,***,***,***,***,36.041,====
2017-07-20 09:44:53.859000,TR000213,A7,None,107.828,71.804,***,***,***,***,36.024,====
2017-07-21 10:08:03.223000,TR000213,A7,False,245.12,74.387,7.49,***,116.697,46.546,***,====,52.109,4.802,55.251,4.535
2017-06-11 17:44:14.020000,TR000213,A8,True,533.724,91.726,7.397,126.075,260.628,47.898,***,====,87.679,172.949
2017-06-21 12:10:41.406000,TR000213,A8,True,601.502,76.896,7.53,124.146,345.25,47.68,***,====,56.875,44.769,63.186,180.42
2017-06-21 16:58:43.105000,TR000213,A8,True,475.757,73.002,7.344,125.483,222.413,47.515,***,====,52.514,169.899
2017-06-22 11:59:09.915000,TR000213,A8,True,499.626,78.271,8.564,129.787,235.212,47.792,***,====,53.073,182.139
2017-06-22 19:14:19.768000,TR000213,A8,True,467.582,73.448,7.655,126.167,212.857,47.455,***,====,52.262,160.595
2017-07-14 10:10:24.317000,TR000213,A8,None,109.254,72.828,***,***,***,***,36.426,====
2017-07-14 17:22:07.217000,TR000213,A8,True,352.172,72.327,7.446,***,225.624,46.775,***,====,51.969,173.655
2017-07-17 10:30:42.106000,TR000213,A8,None,113.105,76.036,***,***,***,***,37.069,====
2017-07-19 09:43:19.553000,TR000213,A8,False,310.704,75.302,7.636,***,180.679,47.087,***,====,52.656,36.261,55.248,36.514
2017-07-20 09:46:41.909000,TR000213,A8,True,371.519,75.701,7.543,***,241.24,47.035,***,====,53.184,188.056
2017-07-21 10:12:08.550000,TR000213,A8,True,471.646,75.445,7.545,***,341.708,46.948,***,====,51.436,46.218,55.352,188.702
2017-06-11 17:53:08.017000,TR000213,B1,True,550.657,96.656,7.456,126.543,273.603,46.399,***,====,88.581,185.022
2017-06-21 12:20:43.120000,TR000213,B1,True,508.943,76.43,7.275,125.117,254.518,45.603,***,====,59.976,194.542
2017-06-21 17:06:39.084000,TR000213,B1,True,504.692,74.515,7.659,126.376,250.236,45.906,***,====,51.528,198.708
2017-06-22 12:07:29.761000,TR000213,B1,True,483.538,74.049,7.578,125.414,230.426,46.071,***,====,50.668,179.758
2017-06-22 19:22:07.573000,TR000213,B1,True,467.205,72.832,7.616,126.142,214.562,46.053,***,====,52.385,162.177
2017-07-14 10:12:13.776000,TR000213,B1,None,109.152,73.714,***,***,***,***,35.438,====
2017-07-14 17:27:59.613000,TR000213,B1,None,109.998,75.278,***,***,***,***,34.72,====
2017-07-17 10:32:35.419000,TR000213,B1,None,112.41,77.286,***,***,***,***,35.124,====
2017-07-19 09:48:30.501000,TR000213,B1,None,111.808,76.721,***,***,***,***,35.087,====
2017-07-20 09:52:53.639000,TR000213,B1,None,108.941,74.034,***,***,***,***,34.907,====
2017-07-21 10:20:00.418000,TR000213,B1,False,244.731,75.459,7.389,***,116.719,45.164,***,====,52.178,4.795,55.202,4.544
2017-06-11 18:02:18.916000,TR000213,B2,False,440.117,98.332,7.447,127.179,161.444,45.715,***,====,89.036,4.752,63.156,4.5
2017-06-21 12:29:12.272000,TR000213,B2,False,379.313,70.854,7.603,125.584,129.568,45.704,***,====,58.216,4.779,62.072,4.501
2017-06-21 17:15:03.988000,TR000213,B2,False,375.474,70.355,7.49,129.784,121.946,45.899,***,====,56.356,4.957,56.13,4.503
2017-06-22 12:15:33.532000,TR000213,B2,False,371.534,71.873,7.477,125.348,120.719,46.117,***,====,52.36,4.785,59.073,4.501
2017-06-22 19:29:55.005000,TR000213,B2,False,366.106,70.704,7.42,126.16,116.292,45.53,***,====,51.735,4.756,55.3,4.501
2017-07-14 10:14:03.138000,TR000213,B2,None,108.521,73.879,***,***,***,***,34.642,====
2017-07-14 17:29:49.792000,TR000213,B2,None,108.69,74.008,***,***,***,***,34.682,====
2017-07-17 10:34:28.025000,TR000213,B2,None,106.781,72.131,***,***,***,***,34.65,====
2017-07-19 09:50:22.514000,TR000213,B2,None,107.503,72.678,***,***,***,***,34.825,====
2017-07-20 09:54:42.791000,TR000213,B2,None,107.836,73.23,***,***,***,***,34.606,====
2017-07-21 10:24:05.342000,TR000213,B2,False,239.915,74.243,7.346,***,113.674,44.652,***,====,50.007,4.842,54.264,4.561
2017-06-11 18:09:39.290000,TR000213,B3,True,553.179,91.541,7.807,126.27,279.36,48.201,***,====,88.298,191.062
2017-06-21 12:41:21.708000,TR000213,B3,True,501.92,72.268,7.556,125.846,250.461,45.789,***,====,56.983,193.478
2017-06-21 17:21:19.688000,TR000213,B3,False,438.612,71.337,7.597,126.85,186.896,45.932,***,====,52.519,40.188,55.216,38.973
2017-06-22 12:21:45.292000,TR000213,B3,True,473.601,69.804,7.605,127.241,223.395,45.556,***,====,51.24,172.155
2017-07-14 10:15:51.863000,TR000213,B3,None,108.91,73.871,***,***,***,***,35.039,====
2017-07-14 17:31:38.667000,TR000213,B3,None,107.526,73.219,***,***,***,***,34.307,====
2017-07-17 10:36:15.109000,TR000213,B3,None,108.805,73.853,***,***,***,***,34.952,====
2017-07-19 09:52:10.209000,TR000213,B3,None,107.236,72.762,***,***,***,***,34.474,====
2017-07-20 09:56:30.797000,TR000213,B3,False,240.844,72.141,7.293,***,116.652,44.758,***,====,52.04,4.799,55.271,4.542
2017-07-21 10:28:05.470000,TR000213,B3,False,241.405,72.942,7.627,***,115.824,45.012,***,====,51.291,4.709,55.291,4.533
2017-06-11 18:18:52.728000,TR000213,B4,True,552.675,87.555,7.554,123.217,288.287,46.062,***,====,84.047,204.24
2017-06-21 17:28:38.542000,TR000213,B4,True,484.587,68.202,7.442,126.866,235.678,46.399,***,====,51.489,184.189
2017-06-22 12:29:39.126000,TR000213,B4,True,483.629,69.204,7.477,126.062,235.111,45.775,***,====,52.597,182.514
2017-06-22 19:40:27.409000,TR000213,B4,True,475.703,69.234,7.316,126.041,227.239,45.873,***,====,52.158,175.081
2017-06-23 19:07:59.332000,TR000213,B4,True,469.801,72.696,8.281,127.604,215.946,45.274,***,====,50.604,165.342
2017-07-14 10:17:40.966000,TR000213,B4,None,108.672,73.906,***,***,***,***,34.766,====
2017-07-14 17:33:26.424000,TR000213,B4,True,352.079,73.766,9.666,***,224.253,44.394,***,====,51.115,173.138
2017-07-17 10:38:04.139000,TR000213,B4,True,349.674,73.238,7.619,***,223.278,45.539,***,====,51.455,171.823
2017-07-19 09:53:57.646000,TR000213,B4,False,241.566,72.7,7.506,***,116.019,45.341,***,====,51.468,4.787,55.23,4.534
2017-07-20 10:00:31.838000,TR000213,B4,False,240.901,73.396,7.429,***,114.676,45.4,***,====,50.163,4.708,55.254,4.551
2017-07-21 10:32:07.107000,TR000213,B4,False,241.19,73.401,7.575,***,115.185,45.029,***,====,50.608,4.841,55.205,4.531
2017-06-11 18:28:05.647000,TR000213,B5,True,580.762,78.685,7.889,129.066,317.955,47.167,***,====,62.059,255.896
2017-06-21 12:52:41.167000,TR000213,B5,False,378.962,71.249,7.596,125.321,128.241,46.555,***,====,56.962,4.661,62.112,4.506
2017-06-21 17:36:43.367000,TR000213,B5,False,370.811,71.439,7.965,127.989,117.218,46.2,***,====,52.662,4.799,55.257,4.5
2017-06-22 12:37:42.997000,TR000213,B5,False,364.815,69.88,7.68,124.943,116.048,46.264,***,====,51.622,4.769,55.155,4.502
2017-06-22 19:48:23.332000,TR000213,B5,False,371.188,73.092,7.654,127.215,117.18,46.047,***,====,52.65,4.765,55.264,4.501
2017-06-23 19:15:49.323000,TR000213,B5,False,368.228,71.242,7.401,124.292,119.045,46.248,***,====,51.661,4.792,58.084,4.508
2017-07-14 10:19:29.837000,TR000213,B5,False,241.46,72.925,7.365,***,115.834,45.336,***,====,51.281,4.769,55.283,4.501
2017-07-14 17:39:18.695000,TR000213,B5,False,241.267,74.398,7.539,***,113.856,45.474,***,====,50.304,4.771,54.261,4.52
2017-07-17 10:43:54.023000,TR000213,B5,False,242.225,72.996,7.552,***,116.211,45.466,***,====,51.584,4.805,55.271,4.551
2017-07-19 09:57:59.465000,TR000213,B5,False,246.452,73.358,7.542,***,119.906,45.646,***,====,54.269,4.775,56.329,4.533
2017-07-20 10:04:32.956000,TR000213,B5,False,240.027,72.978,7.408,***,114.424,45.217,***,====,51.854,4.853,53.17,4.547
2017-07-21 10:36:08.498000,TR000213,B5,False,246.836,73.1,7.363,***,120.682,45.691,***,====,52.28,4.744,59.131,4.527
2017-06-11 18:37:46.626000,TR000213,B6,False,452.073,105.149,7.561,128.718,163.082,47.563,***,====,89.652,4.818,64.111,4.501
2017-06-21 12:59:00.334000,TR000213,B6,False,396.7,73.09,8.892,131.133,136.652,46.933,***,====,61.992,4.807,65.352,4.501
2017-06-21 17:42:54.413000,TR000213,B6,False,370.373,71.485,7.665,127.042,117.558,46.623,***,====,52.977,4.795,55.285,4.501
2017-06-22 12:43:48.026000,TR000213,B6,False,366.837,71.193,7.427,125.405,116.277,46.535,***,====,51.781,4.763,55.233,4.5
2017-06-22 19:54:34.716000,TR000213,B6,False,368.0,72.491,7.551,125.108,116.553,46.297,***,====,52.035,4.764,55.253,4.501
2017-06-23 19:21:57.723000,TR000213,B6,False,360.295,71.811,7.423,123.02,111.778,46.263,***,====,50.476,4.738,52.063,4.501
2017-07-14 10:23:31.539000,TR000213,B6,False,244.734,74.752,8.104,***,116.251,45.627,***,====,51.748,4.791,55.21,4.502
2017-07-14 17:43:20.161000,TR000213,B6,False,240.649,71.812,7.354,***,116.305,45.178,***,====,51.902,4.669,55.22,4.514
2017-07-17 10:47:56.436000,TR000213,B6,False,241.758,72.744,7.711,***,115.185,46.118,***,====,50.662,4.695,55.287,4.541
2017-07-19 10:02:06.164000,TR000213,B6,False,243.363,72.415,7.509,***,117.68,45.759,***,====,53.154,4.774,55.222,4.53
2017-07-20 10:08:33.227000,TR000213,B6,False,240.291,73.414,7.672,***,113.735,45.47,***,====,50.265,4.705,54.236,4.529
2017-07-21 10:40:15.550000,TR000213,B6,False,240.836,71.644,7.408,***,116.361,45.423,***,====,51.776,4.708,55.35,4.527
2017-06-11 18:45:19.066000,TR000213,B7,True,650.752,181.606,7.491,129.023,285.157,47.475,***,====,89.414,195.743
2017-06-21 13:05:37.289000,TR000213,B7,True,527.162,76.188,8.458,129.979,265.468,47.069,***,====,60.449,205.019
2017-06-21 17:49:05.025000,TR000213,B7,True,483.75,71.857,7.84,127.772,228.829,47.452,***,====,52.333,176.496
2017-06-22 12:49:55.118000,TR000213,B7,True,494.759,74.18,7.8,125.049,239.995,47.735,***,====,56.625,183.37
2017-06-22 20:00:42.909000,TR000213,B7,True,477.843,75.005,7.422,126.146,221.997,47.273,***,====,51.53,170.467
2017-06-23 19:27:58.235000,TR000213,B7,True,484.587,75.735,7.161,122.3,232.584,46.807,***,====,50.684,181.9
2017-07-14 10:27:36.472000,TR000213,B7,None,110.944,74.681,***,***,***,***,36.263,====
2017-07-14 17:47:21.013000,TR000213,B7,True,347.456,73.782,7.417,***,220.418,45.839,***,====,49.254,171.164
2017-07-17 10:51:58.438000,TR000213,B7,True,347.519,72.309,7.509,***,221.267,46.434,***,====,50.607,170.66
2017-07-19 10:06:09.763000,TR000213,B7,True,349.34,73.497,7.273,***,222.072,46.498,***,====,52.289,169.783
2017-07-20 10:12:33.733000,TR000213,B7,True,343.084,71.893,7.59,***,217.696,45.905,***,====,49.67,168.026
2017-07-21 10:44:16.611000,TR000213,B7,True,345.464,73.234,7.344,***,219.006,45.88,***,====,51.676,167.33
2017-06-11 18:59:22.136000,TR000213,B8,True,498.741,76.478,7.468,128.3,238.885,47.61,***,====,58.667,180.218
2017-06-21 13:14:24.681000,TR000213,B8,True,523.607,75.472,8.368,129.084,263.32,47.363,***,====,59.844,203.476
2017-06-21 17:57:09.015000,TR000213,B8,True,734.083,75.25,7.838,128.43,474.847,47.718,***,====,53.057,184.534,55.329,181.927
2017-06-22 12:58:10.102000,TR000213,B8,True,479.997,74.726,7.641,126.299,223.884,47.447,***,====,51.206,172.678
2017-06-22 20:08:40.981000,TR000213,B8,True,467.923,73.175,7.369,126.046,213.46,47.873,***,====,51.546,161.914
2017-06-23 19:36:03.013000,TR000213,B8,True,569.802,74.425,7.421,123.366,317.247,47.343,***,====,49.072,39.033,53.18,175.962
2017-07-14 10:29:27.622000,TR000213,B8,None,109.232,72.44,***,***,***,***,36.792,====
2017-07-14 17:53:08.691000,TR000213,B8,False,241.869,73.493,7.456,***,114.33,46.59,***,====,50.836,4.79,54.188,4.516
2017-07-17 10:57:46.148000,TR000213,B8,False,245.993,75.377,7.733,***,116.039,46.844,***,====,51.444,4.833,55.218,4.544
2017-07-19 10:11:59.337000,TR000213,B8,False,245.041,74.44,7.445,***,115.983,47.173,***,====,51.394,4.768,55.293,4.528
2017-07-20 10:18:17.045000,TR000213,B8,False,246.436,76.169,7.501,***,115.99,46.776,***,====,51.364,4.795,55.295,4.536
2017-07-21 10:50:02.307000,TR000213,B8,False,243.963,74.898,7.439,***,115.085,46.541,***,====,50.545,4.827,55.18,4.533
2017-06-11 19:07:41.094000,TR000213,C1,True,837.948,405.273,7.485,126.622,252.745,45.823,***,====,87.533,165.212
2017-06-21 13:25:07.222000,TR000213,C1,True,479.987,72.278,7.475,126.01,228.643,45.581,***,====,56.145,172.498
2017-06-21 18:09:23.346000,TR000213,C1,True,483.77,74.476,7.854,128.555,226.869,46.016,***,====,51.246,175.623
2017-06-22 13:06:10.321000,TR000213,C1,True,476.168,73.404,7.393,125.053,224.312,46.006,***,====,52.05,172.262
2017-06-22 20:16:29.127000,TR000213,C1,True,457.459,74.529,7.489,126.257,203.171,46.013,***,====,51.447,151.724
2017-07-14 10:31:17.052000,TR000213,C1,None,110.407,75.18,***,***,***,***,35.227,====
2017-07-14 17:57:10.751000,TR000213,C1,False,241.125,75.06,7.208,***,113.415,45.442,***,====,50.039,4.745,54.118,4.513
2017-07-17 11:01:52.414000,TR000213,C1,None,112.018,76.794,***,***,***,***,35.224,====
2017-07-19 10:16:04.592000,TR000213,C1,None,111.832,77.04,***,***,***,***,34.792,====
2017-07-20 10:22:23.696000,TR000213,C1,False,245.22,75.713,7.422,***,116.711,45.374,***,====,52.131,4.779,55.272,4.529
2017-07-21 10:54:06.496000,TR000213,C1,False,245.365,76.827,7.454,***,115.914,45.17,***,====,51.248,4.802,55.314,4.55
2017-06-11 19:21:39.283000,TR000213,C2,True,618.02,170.068,7.785,127.723,266.782,45.662,***,====,88.606,178.176
2017-06-21 13:33:07.476000,TR000213,C2,True,523.589,74.144,8.817,130.41,264.751,45.467,***,====,58.798,205.953
2017-06-21 18:17:27.341000,TR000213,C2,True,479.095,71.503,7.823,128.748,225.388,45.633,***,====,51.343,174.045
2017-06-22 20:24:06.811000,TR000213,C2,True,467.911,71.081,7.584,126.129,217.04,46.077,***,====,56.33,160.71
2017-06-23 19:48:01.670000,TR000213,C2,True,458.926,71.354,7.452,123.278,211.573,45.269,***,====,50.528,161.045
2017-07-14 10:33:07.645000,TR000213,C2,None,106.455,71.146,***,***,***,***,35.309,====
2017-07-14 18:01:12.086000,TR000213,C2,None,108.006,73.366,***,***,***,***,34.64,====
2017-07-17 11:03:44.659000,TR000213,C2,False,243.248,73.973,7.56,***,116.237,45.478,***,====,51.541,4.802,55.353,4.541
2017-07-19 10:17:56.641000,TR000213,C2,None,108.601,73.846,***,***,***,***,34.755,====
2017-07-20 10:26:29.134000,TR000213,C2,False,242.628,73.798,7.477,***,116.58,44.773,***,====,52.07,4.754,55.227,4.529
2017-07-21 10:58:12.083000,TR000213,C2,False,243.359,74.025,7.475,***,116.686,45.173,***,====,52.111,4.751,55.282,4.542
2017-06-11 19:31:57.553000,TR000213,C3,False,470.958,128.182,7.71,128.067,161.564,45.435,***,====,89.273,4.772,63.019,4.5
2017-06-21 13:41:51.293000,TR000213,C3,False,378.086,71.464,7.826,125.291,128.121,45.384,***,====,56.767,4.786,62.066,4.502
2017-06-21 18:25:26.690000,TR000213,C3,False,375.991,71.02,7.689,129.05,122.597,45.635,***,====,57.005,4.684,56.406,4.502
